member,phrase,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,spectral_rolloff_mean,spectral_rolloff_std,rms_energy_mean,rms_energy_std,zcr_mean,chroma_mean
sheryl,yes_approve,-397.95328,86.11668,-2.6109788,26.643768,5.1266294,15.583003,-1.5353326,8.943949,0.7013512,4.4141316,-8.6634245,1.493636,-4.7184486,72.20246,29.205282,18.77794,13.19216,11.476506,12.971577,11.880895,9.103276,6.8992996,7.8734255,5.8229036,5.655851,6.396537,5338.600158691406,1697.2870198179598,0.00978174,0.01302951,0.12411063058035714,0.53042287
sheryl,yes_approve_1,-369.4634,128.05618,12.572649,34.620827,1.2054735,18.582888,1.2852544,3.2329743,-6.3639073,7.86997,-2.9563518,9.984583,-2.250914,62.69124,26.825552,22.108957,14.252533,12.886377,10.246775,7.8315215,8.9361725,9.5585575,8.254294,8.2657385,7.4459314,8.585621,3957.5634765625,1981.5929300113091,0.016730096,0.012170602,0.062353515625,0.48648262
sheryl,yes_approve_2,-368.18753,109.76668,15.960909,29.641956,8.124097,14.130032,0.45831817,9.535182,-7.165367,10.693643,0.75847733,7.932449,4.1250696,76.18349,33.078083,22.645712,13.318504,12.151531,12.710676,7.6607327,7.007301,9.869761,9.340818,10.478302,6.5249906,6.139341,4434.1650390625,2091.8280718303395,0.019604148,0.017691605,0.05609266493055556,0.47797185
sheryl,confirm_transaction,-344.89502,74.804115,-3.2869582,23.410034,5.9140277,20.01697,-8.377929,7.6565557,-0.92994773,10.306494,-12.919498,2.4673483,-7.386791,86.64588,40.80103,15.497709,16.545437,10.747458,11.73814,6.9228725,9.533268,6.862371,6.886927,11.417671,7.6932745,9.359419,5561.18896484375,1809.928900544962,0.017906452,0.0158219,0.13542209201388888,0.4572182
sheryl,confirm_transaction_1,-361.55145,116.76717,6.3184347,24.75072,3.715514,16.222408,0.848988,4.6323338,2.9860556,9.62268,0.7224134,4.7500563,-3.6658282,70.35321,30.53479,15.78105,16.568607,8.957899,8.542806,8.328622,8.883434,6.1826015,6.831939,7.4958916,7.6858273,8.425721,3862.104210486779,1807.450551460576,0.017841868,0.014882335,0.06479116586538461,0.43965942
sheryl,confirm_transaction_2,-351.86465,120.7104,17.103306,27.088135,0.2941714,13.575213,7.9569135,5.6545525,-5.362951,7.4547486,-2.281649,7.1517816,-6.467121,64.93002,33.832516,15.014064,15.753301,13.473463,8.360907,9.875567,8.167317,5.2173223,7.4476523,8.646669,9.826613,8.568861,3682.803699582122,2010.412216959652,0.019325167,0.012145916,0.06873978015988372,0.418896
jok,yes_approve,-553.47797,108.001686,35.24414,26.394045,22.520111,9.846492,-1.421482,-5.284767,-1.5876569,-0.7995823,-6.24781,-3.0466013,-3.0123436,103.54562,49.138996,24.926846,20.034979,12.840934,15.6734495,10.902141,19.210976,9.958609,7.971962,10.0002,9.494603,7.635193,2096.848431755515,1938.2289527893067,0.012498201,0.018001957,0.05967562806372549,0.46209636
jok,yes_approve_1,-497.5682,132.71501,38.96832,22.40018,17.576454,6.9873724,-0.9054203,-3.704717,-3.3558242,4.8825707,0.16846104,-4.0043306,-5.3788753,67.52767,36.76967,22.15693,14.7001,9.667143,10.470438,7.2822986,12.300238,6.469536,8.062656,13.690687,12.418361,6.3929596,2358.9527027027025,2204.643450141101,0.01115321,0.015152096,0.043764956362612614,0.3754901
jok,yes_approve_2,-427.88214,109.21485,25.447124,26.85626,1.7893075,12.378304,-9.24722,0.97622633,-4.7320313,-9.876818,-1.719839,-5.5110826,4.3037233,91.45376,49.732807,26.152859,24.94699,19.011246,19.26485,15.5107,13.118699,8.620732,15.036969,13.920753,13.967359,8.754781,2187.6620588631467,1627.8005134711602,0.032947537,0.04989494,0.055365200700431036,0.34996423
jok,confirm_transaction,-470.44626,130.88998,15.45586,19.638132,18.508682,12.148252,0.36378872,-5.524487,-14.824165,0.5356591,-3.0754993,0.89627856,-7.905472,86.826035,51.34446,26.635893,14.905112,14.765512,16.82124,11.819876,13.86888,13.81099,9.779764,11.324268,7.0939856,8.009993,2294.0644413591867,2287.285234480859,0.01759756,0.014174786,0.06278237951807229,0.30719766
